title,url,sku
The Texan,https://my.callofduty.com/store/sku/400006/title/mw,400006
Heavy Hitter,https://my.callofduty.com/store/sku/400008/title/mw,400008
Cloak And Dagger,https://my.callofduty.com/store/sku/400004/title/mw,400004
Nightstalker,https://my.callofduty.com/store/sku/400005/title/mw,400005
Lone Marauder,https://my.callofduty.com/store/sku/400007/title/mw,400007
The Unseen,https://my.callofduty.com/store/sku/400003/title/mw,400003
The Royal Armory I,https://my.callofduty.com/store/sku/400009/title/mw,400009
The Royal Armory II,https://my.callofduty.com/store/sku/400010/title/mw,400010
Emerald Ranger,https://my.callofduty.com/store/sku/400020/title/mw,400020
Lonestar,https://my.callofduty.com/store/sku/400011/title/mw,400011
The Gambler,https://my.callofduty.com/store/sku/400012/title/mw,400012
Molten,https://my.callofduty.com/store/sku/400015/title/mw,400015
WMD,https://my.callofduty.com/store/sku/400019/title/mw,400019
Battle Hardened II,https://my.callofduty.com/store/sku/400018/title/mw,400018
Battle Hardened I,https://my.callofduty.com/store/sku/400017/title/mw,400017
FNG,https://my.callofduty.com/store/sku/400014/title/mw,400014
Scorpio,https://my.callofduty.com/store/sku/400022/title/mw,400022
The Tracker,https://my.callofduty.com/store/sku/400021/title/mw,400021
Executive Armory I,https://my.callofduty.com/store/sku/400023/title/mw,400023
Alpha Dog,https://my.callofduty.com/store/sku/400025/title/mw,400025
Heartland,https://my.callofduty.com/store/sku/400027/title/mw,400027
Fire Claw,https://my.callofduty.com/store/sku/400026/title/mw,400026
Executive Armory II,https://my.callofduty.com/store/sku/400024/title/mw,400024
Notice Me,https://my.callofduty.com/store/sku/400028/title/mw,400028
Infiltrator,https://my.callofduty.com/store/sku/400032/title/mw,400032
Battle-Ready,https://my.callofduty.com/store/sku/400031/title/mw,400031
Lady Luck,https://my.callofduty.com/store/sku/400033/title/mw,400033
Old School,https://my.callofduty.com/store/sku/400030/title/mw,400030
Hare Hunter,https://my.callofduty.com/store/sku/400034/title/mw,400034
Great White,https://my.callofduty.com/store/sku/400036/title/mw,400036
Amphibious,https://my.callofduty.com/store/sku/400038/title/mw,400038
Arms Dealer,https://my.callofduty.com/store/sku/400039/title/mw,400039
Double Strike,https://my.callofduty.com/store/sku/400041/title/mw,400041
Scarlet Snake,https://my.callofduty.com/store/sku/400042/title/mw,400042
The Cleaner,https://my.callofduty.com/store/sku/400040/title/mw,400040
Midas Touch,https://my.callofduty.com/store/sku/400043/title/mw,400043
All Nighter,https://my.callofduty.com/store/sku/400044/title/mw,400044
Viking Burial II,https://my.callofduty.com/store/sku/400046/title/mw,400046
Night Operations,https://my.callofduty.com/store/sku/400048/title/mw,400048
Executive Armory III,https://my.callofduty.com/store/sku/400053/title/mw,400053
Cold Hunt,https://my.callofduty.com/store/sku/400056/title/mw,400056
Sushi Dinner,https://my.callofduty.com/store/sku/400058/title/mw,400058
Tactical Human,https://my.callofduty.com/store/sku/400067/title/mw,400067
Desert Marksman,https://my.callofduty.com/store/sku/400077/title/mw,400077
ZLR Special,https://my.callofduty.com/store/sku/400083/title/mw,400083
Bird of Prey,https://my.callofduty.com/store/sku/400081/title/mw,400081
Venomous,https://my.callofduty.com/store/sku/400085/title/mw,400085
Heavy Shot,https://my.callofduty.com/store/sku/400090/title/mw,400090
Gun Nut,https://my.callofduty.com/store/sku/400104/title/mw,400104
Tacticolor IV,https://my.callofduty.com/store/sku/400512/title/mw,400512
Tracer Pack: Anime,https://my.callofduty.com/store/sku/400155/title/mw,400155
Hazardous,https://my.callofduty.com/store/sku/400152/title/mw,400152
Akimbo Pack Executor,https://my.callofduty.com/store/sku/400154/title/mw,400154
Mack8 Custom,https://my.callofduty.com/store/sku/400158/title/mw,400158
Fire Claw II,https://my.callofduty.com/store/sku/400161/title/mw,400161
The Bodyguard,https://my.callofduty.com/store/sku/400167/title/mw,400167
Retro Gamer,https://my.callofduty.com/store/sku/400175/title/mw,400175
Scorched Earth,https://my.callofduty.com/store/sku/400181/title/mw,400181
Matte Black,https://my.callofduty.com/store/sku/400183/title/mw,400183
Caliber Conversion Pack: .41 Action Express,https://my.callofduty.com/store/sku/400195/title/mw,400195
Lone Wolf,https://my.callofduty.com/store/sku/400199/title/mw,400199
Mack-8 CQC PRO,https://my.callofduty.com/store/sku/400198/title/mw,400198
Entangled,https://my.callofduty.com/store/sku/400197/title/mw,400197
Marbled Elegance,https://my.callofduty.com/store/sku/400196/title/mw,400196
Hang Ten,https://my.callofduty.com/store/sku/400211/title/mw,400211
Akimbo Pack: Anime,https://my.callofduty.com/store/sku/400213/title/mw,400213
Brutalizer Pack: Bare Metal,https://my.callofduty.com/store/sku/400218/title/mw,400218
Sakura Edition,https://my.callofduty.com/store/sku/400214/title/mw,400214
Executive Armory V,https://my.callofduty.com/store/sku/400221/title/mw,400221
Notice Me II,https://my.callofduty.com/store/sku/400220/title/mw,400220
Akimbo Pack: Dark Damascus,https://my.callofduty.com/store/sku/400222/title/mw,400222
Insecticide,https://my.callofduty.com/store/sku/400223/title/mw,400223
Razor Sharp,https://my.callofduty.com/store/sku/400224/title/mw,400224
Out in the Bush,https://my.callofduty.com/store/sku/400226/title/mw,400226
Caliber Conversion Pack: Dragon's Breath,https://my.callofduty.com/store/sku/400227/title/mw,400227
Covert Operations,https://my.callofduty.com/store/sku/400237/title/mw,400237
Lights Out,https://my.callofduty.com/store/sku/400236/title/mw,400236
Arachnid,https://my.callofduty.com/store/sku/400239/title/mw,400239
Frogman UDT: Mil-Sim Pack,https://my.callofduty.com/store/sku/400241/title/mw,400241
The Recluse,https://my.callofduty.com/store/sku/400243/title/mw,400243
Half Dead,https://my.callofduty.com/store/sku/400245/title/mw,400245
Snakeskin,https://my.callofduty.com/store/sku/400249/title/mw,400249
Flower Power,https://my.callofduty.com/store/sku/400254/title/mw,400254
Tacticolor III,https://my.callofduty.com/store/sku/400258/title/mw,400258
Panda's Treasure,https://my.callofduty.com/store/sku/400259/title/mw,400259
Heartburn,https://my.callofduty.com/store/sku/400260/title/mw,400260
Security Detail,https://my.callofduty.com/store/sku/400270/title/mw,400270
Mace Guns Blazing,https://my.callofduty.com/store/sku/400269/title/mw,400269
Lumber Tactical,https://my.callofduty.com/store/sku/400272/title/mw,400272
The Mad Monarch,https://my.callofduty.com/store/sku/400274/title/mw,400274
Snowstorm,https://my.callofduty.com/store/sku/400273/title/mw,400273
